"ensembl_gene_id" "gene_name"
"ENSG00000267432" "DNAH17-AS1"
"ENSG00000172782" "FADS6"
"ENSG00000109062" "SLC9A3R1"
"ENSG00000155636" "RBM45"
"ENSG00000103064" "SLC7A6"
"ENSG00000178573" "MAF"
"ENSG00000234952" "LINC02674"
"ENSG00000270504" ""
"ENSG00000168994" "PXDC1"
"ENSG00000173621" "LRFN4"
"ENSG00000173599" "PC"
"ENSG00000162367" "TAL1"
"ENSG00000226252" ""
"ENSG00000261427" ""
"ENSG00000205730" "ITPRIPL2"
"ENSG00000183580" "FBXL7"
"ENSG00000262185" "LINC02861"
"ENSG00000115641" "FHL2"
"ENSG00000174485" "DENND4A"
"ENSG00000103769" "RAB11A"
"ENSG00000136689" "IL1RN"
"ENSG00000223910" "ZNF32-AS3"
"ENSG00000169740" "ZNF32"
"ENSG00000167670" "CHAF1A"
"ENSG00000213033" "AURKAP1"
"ENSG00000118873" "RAB3GAP2"
"ENSG00000183654" "MARCHF11"
"ENSG00000250448" ""
"ENSG00000187531" "SIRT7"
"ENSG00000203709" "MIR29B2CHG"
"ENSG00000186918" "ZNF395"
"ENSG00000214050" "FBXO16"
"ENSG00000207744" "MIR10B"
"ENSG00000122025" "FLT3"
"ENSG00000120329" "SLC25A2"
"ENSG00000178913" "TAF7"
"ENSG00000116194" "ANGPTL1"
"ENSG00000116191" "RALGPS2"
"ENSG00000154305" "MIA3"
"ENSG00000255308" "CSRP3-AS1"
"ENSG00000129173" "E2F8"
"ENSG00000146857" "STRA8"
"ENSG00000276067" "SLC23A4P"
"ENSG00000062716" "VMP1"
"ENSG00000284190" "MIR21"
"ENSG00000166426" "CRABP1"
"ENSG00000269113" "TRABD2B"
"ENSG00000069696" "DRD4"
"ENSG00000197181" "PIWIL2"
"ENSG00000146540" "C7orf50"
"ENSG00000283189" ""
"ENSG00000145020" "AMT"
"ENSG00000145029" "NICN1"
"ENSG00000254827" "SLC22A18AS"
"ENSG00000110628" "SLC22A18"
"ENSG00000151475" "SLC25A31"
"ENSG00000267743" ""
"ENSG00000049759" "NEDD4L"
"ENSG00000145362" "ANK2"
"ENSG00000152253" "SPC25"
"ENSG00000152254" "G6PC2"
"ENSG00000228613" ""
"ENSG00000203635" ""
"ENSG00000267424" ""
"ENSG00000095066" "HOOK2"
"ENSG00000132026" "RTBDN"
"ENSG00000068383" "INPP5A"
"ENSG00000168621" "GDNF"
"ENSG00000248587" "GDNF-AS1"
"ENSG00000171960" "PPIH"
"ENSG00000123612" "ACVR1C"
"ENSG00000104957" "CCDC130"
"ENSG00000183779" "ZNF703"
"ENSG00000143469" "SYT14"
"ENSG00000251250" ""
"ENSG00000173442" "EHBP1L1"
"ENSG00000217128" "FNIP1"
"ENSG00000273217" ""
"ENSG00000051341" "POLQ"
"ENSG00000125755" "SYMPK"
"ENSG00000104941" "RSPH6A"
"ENSG00000260868" "LINC01960"
"ENSG00000113430" "IRX4"
"ENSG00000132970" "WASF3"
"ENSG00000179954" "SSC5D"
"ENSG00000140506" "LMAN1L"
"ENSG00000196182" "STK40"
"ENSG00000249464" "LINC01091"
"ENSG00000279430" ""
"ENSG00000100242" "SUN2"
"ENSG00000100246" "DNAL4"
"ENSG00000259803" "SLC22A31"
"ENSG00000171208" "NETO2"
"ENSG00000260281" "ITFG1-AS1"
"ENSG00000258346" ""
"ENSG00000152457" "DCLRE1C"
"ENSG00000171189" "GRIK1"
"ENSG00000145293" "ENOPH1"
"ENSG00000152795" "HNRNPDL"
"ENSG00000160714" "UBE2Q1"
"ENSG00000188803" "SHISA6"
"ENSG00000250838" ""
"ENSG00000099834" "CDHR5"
"ENSG00000185101" "ANO9"
"ENSG00000151136" "BTBD11"
"ENSG00000282988" ""
"ENSG00000196866" "H2AC7"
"ENSG00000277224" "H2BC7"
"ENSG00000182199" "SHMT2"
"ENSG00000131037" "EPS8L1"
"ENSG00000137203" "TFAP2A"
"ENSG00000172493" "AFF1"
"ENSG00000131634" "TMEM204"
"ENSG00000187535" "IFT140"
"ENSG00000197561" "ELANE"
"ENSG00000273162" ""
"ENSG00000107821" "KAZALD1"
"ENSG00000204130" "RUFY2"
"ENSG00000103522" "IL21R"
"ENSG00000245293" "CYP2U1-AS1"
"ENSG00000138796" "HADH"
"ENSG00000105373" "NOP53"
"ENSG00000221803" "SNORD23"
"ENSG00000164190" "NIPBL"
"ENSG00000285967" "NIPBL-DT"
"ENSG00000243478" "AOX2P"
"ENSG00000230408" "BZW1-AS1"
"ENSG00000135097" "MSI1"
"ENSG00000239881" "RPS27P25"
"ENSG00000125775" "SDCBP2"
"ENSG00000274322" ""
"ENSG00000234684" "SDCBP2-AS1"
"ENSG00000214279" "SCART1"
"ENSG00000144040" "SFXN5"
"ENSG00000135631" "RAB11FIP5"
"ENSG00000008441" "NFIX"
"ENSG00000171735" "CAMTA1"
"ENSG00000179889" "PDXDC1"
"ENSG00000157045" "NTAN1"
"ENSG00000152086" "TUBA3E"
"ENSG00000288271" ""
"ENSG00000127081" "ZNF484"
"ENSG00000078098" "FAP"
"ENSG00000105122" "RASAL3"
"ENSG00000235750" "KIAA0040"
"ENSG00000178752" "ERFE"
"ENSG00000101204" "CHRNA4"
"ENSG00000203900" ""
"ENSG00000112238" "PRDM13"
"ENSG00000167291" "TBC1D16"
"ENSG00000261978" ""
"ENSG00000117174" "ZNHIT6"
"ENSG00000160999" "SH2B2"
"ENSG00000069020" "MAST4"
"ENSG00000139438" "FAM222A"
"ENSG00000141542" "RAB40B"
"ENSG00000197594" "ENPP1"
"ENSG00000150455" "TIRAP"
"ENSG00000143627" "PKLR"
"ENSG00000150672" "DLG2"
"ENSG00000197766" "CFD"
"ENSG00000205035" ""
"ENSG00000129451" "KLK10"
"ENSG00000126368" "NR1D1"
"ENSG00000126351" "THRA"
"ENSG00000106066" "CPVL"
"ENSG00000285081" ""
"ENSG00000285162" ""
"ENSG00000106069" "CHN2"
"ENSG00000164818" "DNAAF5"
"ENSG00000181588" "MEX3D"
"ENSG00000162062" "TEDC2"
"ENSG00000175264" "CHST1"
"ENSG00000240005" "STIM2-AS1"
"ENSG00000109689" "STIM2"
"ENSG00000141696" "P3H4"
"ENSG00000047457" "CP"
"ENSG00000253230" "MIR124-1HG"
"ENSG00000231419" "LINC00689"
"ENSG00000249961" "TERB1"
"ENSG00000115041" "KCNIP3"
"ENSG00000079308" "TNS1"
"ENSG00000253552" "HOXA-AS2"
"ENSG00000107736" "CDH23"
